word	preserving	td	blackout	albeit	plagiarism	mote	dildo	stricter	improvised	swagger	lexical	borrowers	flu	oath	curled	mafia	beden	overwhelm	aes	embodiment	beverage	nonatomic	finns	tasty	tumult	interpol	vitae	vrouw	wealthiest	undergrad	peanuts	resizing	unconditional	culprit	albums	righteous	autos	carr	pict	reachable	intimately	kultur	defy	edt	poil	handful	intends	soar	certifications	wyn	crappy	potassium	flaming	oblasti	obe	subtitle	phoenix	noop	fabs	hoses	grinder	stap	standby	a
preserving	1.000000	-0.050465	-0.018001	-0.008652	-0.003837	0.008851	0.010487	0.007976	0.003331	-0.001733	0.010420	0.004674	0.021371	0.021346	0.010608	-0.008340	0.009435	0.019482	0.004444	0.031123	0.030552	0.003020	-0.003049	0.017835	-0.001774	0.019183	0.029820	0.023021	0.012404	0.029844	0.033784	0.036633	0.015594	-0.003378	0.030612	0.034758	0.029685	-0.008334	0.036197	0.037259	0.037743	-0.003877	0.004433	-0.003050	0.021552	0.005419	0.014029	0.011364	0.004808	0.001858	0.035522	0.028867	0.021057	0.043531	0.011750	0.032094	0.037496	-0.004233	0.004011	0.017808	0.024747	0.023353	0.015592	0.034706
td	-0.050465	1.000000	-0.020956	-0.011558	0.002042	0.008403	0.010106	0.011593	0.000538	0.006842	0.018498	0.020936	0.020226	0.010933	-0.005729	-0.008450	0.013548	0.014062	0.030315	0.008130	0.016381	0.009264	-0.022744	0.018983	0.030937	-0.011205	0.004306	0.011783	-0.005021	0.037500	0.032809	0.019238	0.034722	0.023428	0.031013	0.012337	0.014206	0.024431	0.013143	0.008352	0.013133	0.026449	0.019743	0.041965	0.009953	0.018707	0.030322	0.042921	0.022387	0.028917	-0.010762	0.020291	-0.004356	-0.016918	0.007286	0.044081	0.035511	0.013476	0.027832	0.011900	0.015829	0.021408	0.012188	0.036791
blackout	-0.018001	-0.020956	1.000000	-0.020881	-0.001569	-0.005280	0.010951	0.013391	0.002664	0.015083	0.008837	0.017090	0.018962	0.022300	0.016150	0.025588	0.024961	0.028578	-0.021393	0.011191	0.022208	0.009339	-0.000599	0.002641	0.002876	0.022195	0.028831	0.015550	0.036899	0.026242	0.037568	0.006554	0.038679	0.015397	0.026208	0.032385	0.039967	0.013190	0.025864	0.022981	0.029952	0.033646	0.014395	0.004206	0.034916	-0.010323	0.036352	0.032440	0.025974	0.012193	-0.019926	0.024360	0.027376	0.028844	0.013695	0.021838	-0.007178	0.020309	-0.006737	0.010609	0.022514	0.010907	0.045892	0.021415
albeit	-0.008652	-0.011558	-0.020881	1.000000	-0.006790	0.008344	0.013336	0.007742	0.013421	-0.001072	0.010411	-0.001333	-0.001767	0.005209	0.026254	0.008096	0.019968	0.025048	0.019893	0.024962	0.031355	0.025528	0.024237	0.004117	0.029777	0.027243	0.014209	0.021463	0.024663	0.035529	0.013659	0.037417	0.026401	0.035223	0.036459	0.035142	-0.003470	-0.025374	-0.005173	0.011795	0.034692	0.018916	0.012316	0.039273	-0.003920	0.036373	0.029360	0.006008	0.017260	0.007669	0.035215	0.038550	0.010975	0.029541	0.039063	0.027618	0.019940	0.026362	0.000407	0.024463	0.005886	-0.008917	0.003888	0.008836
plagiarism	-0.003837	0.002042	-0.001569	-0.006790	1.000000	0.003133	0.008454	0.002094	-0.013713	0.016983	0.018846	0.013571	0.018110	0.010908	-0.006446	0.027116	0.023826	0.003945	0.012032	0.018545	0.005525	0.029104	0.022202	0.012288	0.012240	0.003958	0.010188	0.006778	0.022757	0.017794	0.018162	-0.039658	0.037736	0.028450	0.018488	0.037756	0.007372	0.012299	0.031404	0.023089	0.021406	0.014514	0.014787	0.000655	-0.006827	0.026753	0.043164	-0.005752	0.016833	0.020508	0.005844	0.002815	0.039876	0.027354	0.008879	-0.003688	0.021833	0.019461	0.009803	0.016695	0.008027	0.007187	0.019040	0.024023
mote	0.008851	0.008403	-0.005280	0.008344	0.003133	1.000000	0.011140	0.011813	0.008340	-0.015133	0.005908	-0.031576	0.002317	-0.001536	0.010253	0.010190	0.028916	0.011009	0.027715	0.004896	0.017104	-0.007440	0.008541	0.005591	0.033721	-0.000438	0.018360	0.006090	-0.004191	-0.015099	0.026685	0.017118	0.001715	-0.012003	0.021309	0.005728	0.039580	0.039180	0.031999	0.025528	0.007416	0.023431	0.017106	0.036586	0.024688	0.021886	0.028173	0.034694	0.017929	0.037025	0.043701	0.021081	0.032731	0.044402	0.025852	0.022590	0.029811	-0.000399	0.034208	0.036019	0.018884	0.041092	0.013381	0.021662
dildo	0.010487	0.010106	0.010951	0.013336	0.008454	0.011140	1.000000	0.001031	0.007055	0.009106	0.001606	-0.002504	-0.011347	0.011372	0.017298	0.028860	0.012608	-0.005578	0.000232	0.028738	0.028177	0.031765	0.028759	-0.002543	0.031449	0.017640	0.030836	0.014776	-0.044291	0.008073	0.002817	0.009066	-0.003508	0.016650	0.013994	-0.004924	0.004788	-0.003305	0.038537	-0.003117	0.003959	0.030043	0.005174	0.009494	0.038318	0.025414	-0.000931	0.015728	-0.018349	0.031448	0.041917	-0.011319	0.027495	0.005709	0.019426	0.029252	0.025348	0.040345	0.045471	0.039251	0.021512	0.031469	0.007500	0.017326
stricter	0.007976	0.011593	0.013391	0.007742	0.002094	0.011813	0.001031	1.000000	0.006056	0.009220	0.015561	0.016881	0.011432	-0.014126	0.015211	0.002686	0.023838	-0.013109	0.011528	0.029212	0.014809	-0.000561	0.032494	0.020988	0.019185	0.025243	0.009600	0.011004	0.028898	0.008671	0.015156	0.032566	0.023510	0.038955	-0.012183	0.030273	0.002150	0.015233	0.039497	0.033962	0.018030	0.020823	0.015732	0.005965	0.013479	0.042805	0.025702	0.009011	0.037628	0.021398	0.027884	0.002432	0.011123	0.038192	0.034842	0.022656	0.044695	0.018990	0.035974	-0.000842	0.006499	0.020782	0.009801	0.019057
improvised	0.003331	0.000538	0.002664	0.013421	-0.013713	0.008340	0.007055	0.006056	1.000000	0.020183	0.020884	-0.014600	0.004141	-0.005548	0.008626	0.026843	0.022109	0.023251	0.008614	0.027184	0.016669	-0.009358	0.015270	0.031793	0.032458	0.035632	0.035567	0.033168	0.024598	0.021107	-0.020433	0.033834	-0.011751	0.010114	0.029014	0.027360	0.031417	0.008538	0.041037	0.032175	0.022436	0.041645	0.027537	0.032042	0.014703	0.018586	0.043109	0.016058	0.007023	0.014793	-0.002989	0.027232	0.028855	-0.002424	0.015942	0.029604	-0.014750	0.031866	0.036102	0.018445	-0.014601	-0.004956	0.027425	0.004671
swagger	-0.001733	0.006842	0.015083	-0.001072	0.016983	-0.015133	0.009106	0.009220	0.020183	1.000000	0.008505	-0.015018	0.004172	0.019463	-0.003906	0.027706	0.013942	0.020021	0.015565	0.005698	0.025392	0.010140	0.005352	0.006831	0.017722	0.014123	-0.002999	0.015829	-0.010446	0.018169	0.010782	0.031055	0.007370	0.016179	0.013398	0.023214	0.027374	0.021240	0.012659	0.004114	0.015467	0.033994	0.009858	0.012871	0.013099	0.035179	0.018612	0.018239	0.010679	0.018999	0.015680	0.010937	-0.001460	-0.006513	0.029281	0.020152	0.014416	0.030808	0.035773	0.014674	0.035180	0.025002	0.025146	0.010782
